X,synt_h0,synt_h1000,synt_h2000,synt_h3000,synt_h4000,synt_h4500,synt_h4800,1000m_regDC,2000m_regDC,3000m_regDC,4000m_regDC,4500m_regDC,4800m_regDC
34000,0.0375783,0.031058,0.0239091,0.0162462,0.0082179,0.004121,0.0016496,0.03059097,0.02296873,0.0148356,0.006400476,0.002242217,-9.088878E-05
35000,0.0422407,0.0350552,0.0270783,0.0184465,0.0093458,0.004689,0.0018772,0.03458355,0.02611965,0.01697773,0.007275306,0.002200865,-0.0009447397
36000,0.0477866,0.0398531,0.0309109,0.0211226,0.0107222,0.005381,0.0021549,0.03937763,0.02995212,0.01969469,0.008934914,0.003430668,-1.018694E-05
37000,0.0544403,0.0456721,0.0356018,0.0244207,0.0124261,0.006241,0.0024992,0.04518869,0.03460896,0.02287485,0.01017152,0.00362678,-0.0002426534
38000,0.0624971,0.0528108,0.0414212,0.0285473,0.0145689,0.007323,0.0029332,0.05232273,0.04042692,0.02705904,0.01282642,0.005861915,0.002272886
39000,0.072346,0.0616806,0.0487521,0.0338021,0.0173168,0.008712,0.0034908,0.06118163,0.04771603,0.03218109,0.01470087,0.004334443,-0.00378429
40000,0.0845041,0.0728503,0.058148,0.0406296,0.0209184,0.010537,0.0042237,0.07234332,0.05709106,0.03899276,0.01911721,0.01029405,0.006825886
41000,0.0996553,0.0871238,0.0704271,0.0497141,0.025767,0.013002,0.0052145,0.08660633,0.06932656,0.0479919,0.02358226,0.01104807,0.004915801
42000,0.1186951,0.1056423,0.0868322,0.0621459,0.0325078,0.016444,0.006599,0.1051167,0.08569166,0.06024272,0.02803421,0.005107398,-0.01652158
43000,0.1427595,0.1300264,0.1092935,0.0797388,0.0422627,0.021453,0.0086182,0.1294953,0.108098,0.07785422,0.04274534,0.03179895,0.03363351
44000,0.173188,0.1625378,0.1408737,0.1056605,0.0571162,0.02915,0.011728,0.1620158,0.1396463,0.1034345,0.05332825,0.02579827,0.01507942
45000,0.2112926,0.206151,0.1864576,0.145749,0.0812885,0.041852,0.0168815,0.2056588,0.1851867,0.142903,0.06658272,-0.006717041,-0.08662543
46000,0.257675,0.2641329,0.2535908,0.2113527,0.1243428,0.065044,0.0263583,0.2637336,0.2524704,0.2101315,0.1445841,0.1420634,0.1780921
47000,0.3107208,0.3380832,0.3522086,0.3251839,0.2114372,0.114306,0.0467874,0.3378617,0.3513826,0.3199745,0.1871525,0.08157256,0.03871011
48000,0.364282,0.4225794,0.4876315,0.5284113,0.423071,0.249006,0.1048045,0.422671,0.4880712,0.5275036,0.3657678,0.006210495,-0.4330753
49000,0.4062992,0.4971131,0.6338034,0.8451143,1.0577454,0.84918,0.4094999,0.4975538,0.6357569,0.8585517,1.226462,1.476769,1.630467
50000,0.4225445,0.5281609,0.7041412,1.0558742,2.10837,4.203337,1.6887539,0.5287795,0.7060513,1.051703,1.901519,2.847882,3.795449
51000,0.4062993,0.4971132,0.6338035,0.8451137,1.0577458,0.84918,0.4094987,0.4975545,0.6357627,0.8585722,1.226543,1.476915,1.630709
52000,0.3642821,0.4225799,0.4876317,0.5284116,0.423072,0.249006,0.1048041,0.4226699,0.4880584,0.5274443,0.365441,0.005442589,-0.4344483
53000,0.3107211,0.3380837,0.352209,0.3251844,0.2114375,0.114306,0.0467866,0.3378644,0.3514059,0.3200927,0.1878608,0.08332102,0.04185718
54000,0.2576749,0.2641333,0.2535912,0.2113529,0.1243424,0.065044,0.0263583,0.2637302,0.2524412,0.2099801,0.1436742,0.139809,0.1740502
55000,0.2112931,0.2061511,0.1864581,0.1457488,0.0812886,0.041853,0.0168812,0.2056622,0.1852111,0.1430185,0.06724815,-0.005091215,-0.08372239
56000,0.1731883,0.1625379,0.1408738,0.1056604,0.0571165,0.02915,0.0117275,0.1620152,0.1396365,0.1033994,0.05316207,0.0254334,0.01443703
57000,0.1427596,0.1300261,0.1092934,0.079739,0.0422626,0.021453,0.0086184,0.1294958,0.108102,0.07784836,0.04263569,0.03145647,0.03298947
58000,0.1186951,0.1056421,0.0868323,0.0621461,0.0325077,0.016444,0.0065991,0.1051161,0.08568708,0.06023871,0.028061,0.005216668,-0.01629677
59000,0.0996553,0.0871238,0.070427,0.0497142,0.025767,0.013002,0.0052145,0.08660719,0.06933313,0.04801868,0.02374691,0.01147329,0.005680083
60000,0.0845039,0.0728504,0.0581478,0.0406296,0.0209184,0.010537,0.0042238,0.0723421,0.0570843,0.03896454,0.01893373,0.009804717,0.005931389
61000,0.0723459,0.0616805,0.0487522,0.033802,0.0173168,0.008712,0.0034908,0.06118181,0.04771761,0.0321793,0.01468327,0.004295949,-0.003846881
62000,0.0624971,0.0528112,0.0414214,0.0285475,0.0145692,0.007323,0.0029333,0.05232284,0.04042854,0.02708513,0.01302588,0.006395968,0.003249512
63000,0.0544402,0.0456721,0.0356016,0.0244208,0.012426,0.006241,0.0024991,0.04518875,0.03460976,0.02286198,0.01004423,0.00325865,-0.0009336624
64000,0.0477865,0.039853,0.030911,0.0211226,0.0107224,0.005382,0.002155,0.03937655,0.02994384,0.01966159,0.008758761,0.003017213,-0.0007366392
65000,0.0422408,0.0350552,0.0270784,0.0184467,0.0093458,0.004689,0.0018771,0.03458542,0.02613467,0.01705344,0.007739393,0.003365307,0.001155565
66000,0.0375781,0.0310581,0.0239091,0.0162461,0.0082178,0.004121,0.0016499,0.03058893,0.02295249,0.01475286,0.005888454,0.0009516324,-0.002428631
67000,0.0336267,0.0276957,0.0212599,0.0144153,0.0072823,0.003651,0.0014614,0.02723305,0.02033648,0.01305714,0.005699927,0.00224419,0.0004382375
68000,0.0302522,0.0248428,0.0190242,0.0128761,0.0064976,0.003256,0.0013033,0.02438023,0.01808581,0.01143929,0.00443299,0.0007112162,-0.001706164
69000,0.0273504,0.022403,0.0171204,0.01157,0.0058328,0.002923,0.0011696,0.02194476,0.01620719,0.01021895,0.004163129,0.001250578,-0.000334934
70000,0.0248384,0.0203012,0.0154867,0.0104523,0.0052652,0.002638,0.0010556,0.01984094,0.01455553,0.009028851,0.003220367,9.730716E-05,-0.001978053
71000,0.0226512,0.0184784,0.0140745,0.0094885,0.0047765,0.002392,0.0009574,0.01802099,0.01316236,0.00813426,0.003097925,0.0007367249,-0.0004869384
72000,0.0207358,0.0168876,0.0128457,0.0086517,0.0043527,0.00218,0.0008723,0.01642856,0.01192099,0.007249328,0.002382821,-0.0002150829,-0.001924423
73000,0.0190499,0.015492,0.0117701,0.0079206,0.0039826,0.001994,0.0007979,0.01503436,0.01085533,0.006548937,0.002180679,1.470005E-05,-0.001253684
74000,0.0175585,0.0142606,0.0108236,0.007278,0.0036579,0.001831,0.0007328,0.01380135,0.009904229,0.005910048,0.001908654,-1.146612E-06,-0.001037759
75000,0.0162332,0.0131691,0.0099861,0.0067103,0.0033712,0.001688,0.0006753,0.01270903,0.009061568,0.005299524,0.001347729,-0.0008396965,-0.002355103
76000,0.0150507,0.0121973,0.0092415,0.0062065,0.003117,0.00156,0.0006243,0.01173567,0.008319856,0.004842951,0.00142175,-0.0001310645,-0.00089072
77000,0.0139912,0.0113284,0.008577,0.005757,0.0028904,0.001447,0.0005788,0.01086516,0.007647991,0.004352508,0.0009653253,-0.0008050049,-0.00194158
78000,0.0130385,0.0105484,0.0079812,0.0053546,0.0026876,0.001345,0.0005382,0.01008209,0.007048779,0.003959658,0.0008335143,-0.0007422892,-0.001688728
79000,0.0121789,0.0098457,0.0074452,0.0049928,0.0025053,0.001254,0.0005017,0.009377604,0.006506642,0.003577125,0.0005976815,-0.00091129,-0.001831628
80000,0.0114008,0.0092104,0.0069612,0.0046665,0.0023411,0.001171,0.0004687,0.008739006,0.006020518,0.003270061,0.0005548165,-0.0007158199,-0.001382282
81000,0.0106942,0.0086343,0.0065226,0.0043709,0.0021922,0.001097,0.0004388,0.008160251,0.005569469,0.002915742,0.0001046681,-0.001501184,-0.002664331
82000,0.0100508,0.0081103,0.006124,0.0041026,0.0020574,0.001029,0.0004119,0.007632746,0.005174657,0.002713122,0.0004080458,-0.0004832761,-0.0007468233
83000,0.009463,0.0076322,0.0057607,0.0038581,0.0019343,0.000968,0.0003873,0.007150748,0.004791283,0.002368055,-0.0002619945,-0.001864312,-0.003126174
84000,0.008925,0.0071949,0.0054287,0.0036346,0.0018221,0.000912,0.0003646,0.006708837,0.004462065,0.00221901,0.0001299104,-0.0006443792,-0.0008053774
85000,0.0084311,0.006794,0.0051245,0.0034302,0.0017194,0.00086,0.0003441,0.006304086,0.004138999,0.001917874,-0.0004797601,-0.001937688,-0.003094252
86000,0.0079769,0.0064254,0.004845,0.0032424,0.001625,0.000813,0.0003253,0.005929439,0.003858335,0.001798477,-0.0001311526,-0.0009050348,-0.001183198
87000,0.007558,0.0060858,0.0045876,0.0030696,0.0015383,0.00077,0.0003078,0.005586314,0.003584123,0.001530176,-0.0006574235,-0.001846635,-0.002606889
88000,0.0071711,0.0057723,0.0043502,0.0029101,0.0014581,0.00073,0.0002918,0.005264392,0.003338095,0.001428363,-0.0003491971,-0.001134983,-0.001536805
89000,0.0068129,0.0054823,0.0041306,0.0027628,0.0013841,0.000692,0.000277,0.004971773,0.003105937,0.00118368,-0.00101079,-0.002533962,-0.003941974
90000,0.0064807,0.0052135,0.0039272,0.0026263,0.0013157,0.000658,0.0002632,0.004691715,0.00288865,0.001122039,-0.0002434736,1.730314E-05,0.001316924
91000,0.0061719,0.0049639,0.0037383,0.0024997,0.001252,0.000626,0.0002506,0.004440054,0.002686525,0.000874162,-0.001274425,-0.003345509,-0.005726309
92000,0.0058846,0.0047316,0.0035627,0.0023819,0.001193,0.000597,0.0002386,0.00419204,0.002488413,0.000807101,-0.001099549,-0.002328721,-0.003562962
93000,0.0056168,0.0045152,0.0033992,0.0022723,0.0011379,0.000569,0.0002277,0.003977039,0.002318917,0.0006065645,-0.0001232012,0.002046804,0.006437062
94000,0.0053667,0.0043132,0.0032465,0.00217,0.0010867,0.000544,0.0002174,0.003751162,0.002130117,0.0006724038,-0.001475195,-0.005311413,-0.010504
95000,0.0051328,0.0041244,0.003104,0.0020746,0.0010388,0.00052,0.0002079,0.003569947,0.001992315,-0.000125651,-0.00487386,-0.01078183,-0.01896035
96000,0.0049137,0.0039476,0.0029705,0.0019851,0.0009939,0.000497,0.0001989,0.003351511,0.001765375,0.001298647,0.009537196,0.02924095,0.05819126
97000,0.0047083,0.003782,0.0028454,0.0019012,0.0009519,0.000476,0.0001904,0.003213572,0.001818299,-0.000898148,-0.01419697,-0.04028075,-0.07491665
98000,0.0045155,0.0036264,0.0027281,0.0018227,0.0009126,0.000456,0.0001825,0.002958668,0.0009948494,-0.001392366,-0.007846794,-0.01644372,-0.02991612
99000,0.004334,0.0034802,0.0026178,0.0017489,0.0008755,0.000438,0.0001752,0.00294807,0.002731397,0.007651399,0.04837676,0.1236791,0.2257732
100000,0.0041633,0.0033426,0.002514,0.0016794,0.0008407,0.00042,0.0001682,0.00230832,-0.0015199,-0.01396451,-0.08164868,-0.1988935,-0.3527044
